_id,id,asset_id,location,alternative_name,type,location_details,url,address,geometry
1,774,80165,Wenderly Park,Wenderly Park Baseball Diamond Bottle Filling Station,Bottle Filling Station,Located north of the baseball diamond along the pathway. ,https://www.toronto.ca/data/parks/prd/facilities/complex/774/index.html,89 Wenderly Dr  ,"c(-79.4461230209045, 43.7119805089016)"
2,593,80105,Fountainhead Park,Fountainhead Park Bottle Filling Station,Bottle Filling Station,Located on the pathway on the south side of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/593/index.html,445 Sentinel Rd  ,"c(-79.4980988701947, 43.7622229747298)"
3,3697,78976,Clover Hill Park,Clover Hill Park Bottle Filling Station,Bottle Filling Station,Located on the pathway north of the splash pad.,https://www.toronto.ca/data/parks/prd/facilities/complex/3697/index.html,50 St. Joseph St.   ,"c(-79.3883900768583, 43.6662793014498)"
4,1000,74923,North Kipling Park,North Kipling Park Bottle Filling Station,Bottle Filling Station,"Located outside of North Kipling Community Centre, close to the parking lot.",https://www.toronto.ca/data/parks/prd/facilities/complex/1000/index.html,2729 Kipling Ave  ,"c(-79.5847001471413, 43.7517241988724)"
5,306,78414,Withrow Park,Withrow Park Fieldhouse Bottle Filling Station,Bottle Filling Station,Located on the outside of the fieldhouse.,https://www.toronto.ca/data/parks/prd/facilities/complex/306/index.html,725 Logan Ave  ,"c(-79.347306009579, 43.6757069806248)"
6,1470,79548,Morningside Park,Morningside Park Bottle Filling Station,Bottle Filling Station,"Located at the washroom building, west of the parking lot, east of the playground.",https://www.toronto.ca/data/parks/prd/facilities/complex/1470/index.html,390 Morningside Ave  ,"c(-79.1940386754819, 43.7791575875844)"
7,263,79245,Bellevue Square Park,Bellevue Square Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the pathway at the west end of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/263/index.html,5 Bellevue Ave  ,"c(-79.4027289449922, 43.6534690608432)"
8,245,78685,Oriole Park - Toronto,Oriole Park Toronto Tennis Court Bottle Filling Station,Bottle Filling Station,"Located near the washroom building, north of the tennis courts.",https://www.toronto.ca/data/parks/prd/facilities/complex/245/index.html,201 Oriole Pkwy  ,"c(-79.3994126874146, 43.697211674627)"
9,2443,77374,Linkwood Lane Park,Linkwood Lane Park Bottle Filling Station,Bottle Filling Station,Located next to the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/2443/index.html,10 Linkwood Lane  ,"c(-79.3245020425961, 43.7158479737785)"
10,467,76643,Coronation Park - Toronto,Coronation Park Toronto Central Baseball Diamond Bottle Filling Station,Bottle Filling Station,Located on the east side of the washroom building south of the central baseball diamond.,https://www.toronto.ca/data/parks/prd/facilities/complex/467/index.html,711 Lake Shore Blvd  W ,"c(-79.4054297320715, 43.6340903588196)"
11,145,77834,Monarch Park,Monarch Park Felstead Avenue Bottle Filling Station,Bottle Filling Station,Located along the sidewalk at the north end of the park along Felstead Avenue.,https://www.toronto.ca/data/parks/prd/facilities/complex/145/index.html,115 Felstead Ave  ,"c(-79.3264773809881, 43.6788470986144)"
12,811,78696,Dixon Park,Dixon Park Bottle Filling Station,Bottle Filling Station,Located on the outside of the washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/811/index.html,350 Dixon Rd  ,"c(-79.555212122096, 43.6964833263435)"
13,689,75144,Mcnicoll Park,Mcnicoll Park Bottle Filling Station,Bottle Filling Station,Located north of the pathway and outdoor table tennis tables.,https://www.toronto.ca/data/parks/prd/facilities/complex/689/index.html,215 Mcnicoll Ave  ,"c(-79.3534776325057, 43.7992664108368)"
14,3660,75648,Aitken Place Park,Aitken Place Park Bottle Filling Station,Bottle Filling Station,Located on the west side of the park south of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/3660/index.html,90 Merchants' Wharf   ,"c(-79.3627217149245, 43.6449153703529)"
15,836,75147,Walter Saunders Memorial Park,Walter Saunders Memorial Park Basketball Court Bottle Filling Station,Bottle Filling Station,Located near the southeast corner of the basketball court.,https://www.toronto.ca/data/parks/prd/facilities/complex/836/index.html,440 Hopewell Ave  ,"c(-79.4488490903355, 43.6994120086874)"
16,3635,60583,Atria South Park,Atria South Park Bottle Filling Station,Bottle Filling Station,Located in the middle of the park on the east side of the pathway intersection.,https://www.toronto.ca/data/parks/prd/facilities/complex/3635/index.html,63 Ann O'reilly Rd   ,"c(-79.3288106864228, 43.7736936272126)"
17,170,73802,Ravina Gardens,Ravina Gardens Splash Pad Bottle Filling Station,Bottle Filling Station,Located northwest of the splash pad.,https://www.toronto.ca/data/parks/prd/facilities/complex/170/index.html,290 Clendenan Ave  ,"c(-79.4719120043275, 43.6591441907211)"
18,204,71083,Clarence Square Park,Clarence Square Park Monument Bottle Filling Station,Bottle Filling Station,Located on the grassy area east of the monument. ,https://www.toronto.ca/data/parks/prd/facilities/complex/204/index.html,25 Clarence Sq  ,"c(-79.3936202589783, 43.6441971057676)"
19,379,71304,McCleary Park,McCleary Park Bottle Filling Station ,Bottle Filling Station,Located outside the washroom building.,https://www.toronto.ca/data/parks/prd/facilities/complex/379/index.html,755 Lake Shore Blvd  E ,"c(-79.3406433592806, 43.6533768968288)"
20,31,70962,Alexandra Park,Alexandra Park Bottle Filling Station,Bottle Filling Station,Located at the south end of the splash pad.,https://www.toronto.ca/data/parks/prd/facilities/complex/31/index.html,275 Bathurst St  ,"c(-79.4038180220775, 43.650715012719)"
21,229,70963,Lionel Conacher Park,Lionel Conacher Park Wading Pool Bottle Filling Station,Bottle Filling Station,Located north of the wading pool.,https://www.toronto.ca/data/parks/prd/facilities/complex/229/index.html,80 Cottingham St  ,"c(-79.3946732501665, 43.680589725488)"
22,1431,78294,Grange Park,Grange Park Dog Off-Leash Area Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Located on the pathway at the east end of the dog off-leash area.,https://www.toronto.ca/data/parks/prd/facilities/complex/1431/index.html,26 Grange Rd  W ,"c(-79.3920989345496, 43.6521052834915)"
23,1431,78355,Grange Park,Grange Park Bottle Filling Station,Bottle Filling Station,"Located on the east side of main pathway from Stephanie Street, across from the dog off-leash area.",https://www.toronto.ca/data/parks/prd/facilities/complex/1431/index.html,26 Grange Rd  W ,"c(-79.3919455175443, 43.652142809271)"
24,1431,78354,Grange Park,Grange Park Playground Bottle Filling Station,Bottle Filling Station,Located on the pathway on the west side of the playground.,https://www.toronto.ca/data/parks/prd/facilities/complex/1431/index.html,26 Grange Rd  W ,"c(-79.3917603869808, 43.652561126216)"
25,431,78116,Woodbine Park,Woodbine Park Splash Pad Bottle Filling Station ,Bottle Filling Station,Located northwest of the splash pad on the east side of the pathway.,https://www.toronto.ca/data/parks/prd/facilities/complex/431/index.html,1695 Queen St  E ,"c(-79.3106841115754, 43.6645865829372)"
26,629,78119,Cedarvale Park,Cedarvale Park Bottle Filling Station,Bottle Filling Station,Located on the pathway north of the west gate into the dog off-leash area.,https://www.toronto.ca/data/parks/prd/facilities/complex/629/index.html,443 Arlington Ave  ,"c(-79.4297136108489, 43.6920326468851)"
