park_id,resource_type,geometry
774,Bottle Filling Station,"c(-79.4461230209045, 43.7119805089016)"
593,Bottle Filling Station,"c(-79.4980988701947, 43.7622229747298)"
3697,Bottle Filling Station,"c(-79.3883900768583, 43.6662793014498)"
1000,Bottle Filling Station,"c(-79.5847001471413, 43.7517241988724)"
306,Bottle Filling Station,"c(-79.347306009579, 43.6757069806248)"
1470,Bottle Filling Station,"c(-79.1940386754819, 43.7791575875844)"
263,Bottle Filling Station,"c(-79.4027289449922, 43.6534690608432)"
263,Drinking Fountain,"c(-79.4027289449922, 43.6534690608432)"
245,Bottle Filling Station,"c(-79.3994126874146, 43.697211674627)"
2443,Bottle Filling Station,"c(-79.3245020425961, 43.7158479737785)"
467,Bottle Filling Station,"c(-79.4054297320715, 43.6340903588196)"
145,Bottle Filling Station,"c(-79.3264773809881, 43.6788470986144)"
811,Bottle Filling Station,"c(-79.555212122096, 43.6964833263435)"
689,Bottle Filling Station,"c(-79.3534776325057, 43.7992664108368)"
3660,Bottle Filling Station,"c(-79.3627217149245, 43.6449153703529)"
836,Bottle Filling Station,"c(-79.4488490903355, 43.6994120086874)"
3635,Bottle Filling Station,"c(-79.3288106864228, 43.7736936272126)"
170,Bottle Filling Station,"c(-79.4719120043275, 43.6591441907211)"
204,Bottle Filling Station,"c(-79.3936202589783, 43.6441971057676)"
379,Bottle Filling Station,"c(-79.3406433592806, 43.6533768968288)"
31,Bottle Filling Station,"c(-79.4038180220775, 43.650715012719)"
229,Bottle Filling Station,"c(-79.3946732501665, 43.680589725488)"
1431,Bottle Filling Station,"c(-79.3920989345496, 43.6521052834915)"
1431,Drinking Fountain,"c(-79.3920989345496, 43.6521052834915)"
1431,Dog Fountain,"c(-79.3920989345496, 43.6521052834915)"
1431,Bottle Filling Station,"c(-79.3919455175443, 43.652142809271)"
1431,Bottle Filling Station,"c(-79.3917603869808, 43.652561126216)"
431,Bottle Filling Station,"c(-79.3106841115754, 43.6645865829372)"
629,Bottle Filling Station,"c(-79.4297136108489, 43.6920326468851)"
348,Bottle Filling Station,"c(-79.4432175813896, 43.6481122042163)"
348,Drinking Fountain,"c(-79.4432175813896, 43.6481122042163)"
857,Bottle Filling Station,"c(-79.5086016557231, 43.616448413574)"
373,Bottle Filling Station,"c(-79.4019058668715, 43.6867070428127)"
836,Bottle Filling Station,"c(-79.4464257820624, 43.6998864104157)"
22,Bottle Filling Station,"c(-79.5779681514099, 43.7521542512196)"
259,Bottle Filling Station,"c(-79.4571682545679, 43.6721515143003)"
259,Drinking Fountain,"c(-79.4571682545679, 43.6721515143003)"
1508,Bottle Filling Station,"c(-79.6157560219455, 43.731544321655)"
155,Bottle Filling Station,"c(-79.3437244177319, 43.6603572810684)"
148,Bottle Filling Station,"c(-79.3604690371936, 43.654550561337)"
148,Drinking Fountain,"c(-79.3604690371936, 43.654550561337)"
2723,Bottle Filling Station,"c(-79.4082838755871, 43.6779094366766)"
2723,Drinking Fountain,"c(-79.4082838755871, 43.6779094366766)"
2619,Bottle Filling Station,"c(-79.4006342527504, 43.63441848745)"
2619,Drinking Fountain,"c(-79.4006342527504, 43.63441848745)"
2619,Dog Fountain,"c(-79.4006342527504, 43.63441848745)"
934,Bottle Filling Station,"c(-79.3672283101139, 43.7061284596332)"
